respL,graph,trialNum,path,pID,respR,walk,ISI_raw,correct_raw,onset_raw,resp_raw,rt_raw,order
"['s', 'd']",modular,826,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,0.0,767.8934936523438,"['d', 's']",0.5587880611419678,825.0
"['s', 'f']",modular,827,img/target_11.png,48,"['j', 'l']",8,0.05000000074505806,1.0,769.3601684570312,"['f', 's']",1.0031921863555908,826.0
"['s', 'space']",modular,828,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,1.0,770.4603881835938,"['s', 'space']",0.7917220592498779,827.0
"['a', 's']",modular,829,img/target_6.png,48,"['space', 'j']",9,0.05000000074505806,1.0,771.3429565429688,"['a', 's']",0.6613428592681885,828.0
"['s', 'space']",modular,830,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,1.0,772.0934448242188,"['s', 'space']",0.7016818523406982,829.0
"['s', 'f']",modular,831,img/target_11.png,48,"['j', 'l']",8,0.05000000074505806,1.0,772.8930053710938,"['f', 's']",0.7268381118774414,830.0
"['s', 'space']",modular,832,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,1.0,773.7098388671875,"['s', 'space']",0.9334712028503418,831.0
"['s', 'f']",modular,833,img/target_11.png,48,"['j', 'l']",8,0.05000000074505806,1.0,774.7279663085938,"['f', 's']",0.7402999401092529,832.0
"['s', 'd']",modular,834,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,1.0,775.56103515625,"['d', 's']",0.7069659233093262,833.0
"['a', 'space']",modular,835,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,776.3607788085938,"['a', 'space']",0.6992108821868896,834.0
"['s', 'f']",modular,836,img/target_11.png,48,"['j', 'l']",8,0.05000000074505806,0.0,777.1604614257812,"['f', 's']",0.6115169525146484,835.0
"['a', 'space']",modular,837,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,778.2280883789062,"['a', 'space']",0.6479630470275879,836.0
"['s', 'd']",modular,838,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,1.0,778.976806640625,"['d', 's']",0.6982710361480713,837.0
"['a', 'space']",modular,839,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,0.0,779.777587890625,"['a', 'space']",0.6174619197845459,838.0
"['s', 'd']",modular,840,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,1.0,781.39501953125,"['d', 's']",0.5278630256652832,839.0
"['a', 'space']",modular,841,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,782.01171875,"['a', 'space']",0.5511670112609863,840.0
"['f', 'space']",modular,842,img/target_15.png,48,"['l', 'semicolon']",4,0.05000000074505806,1.0,782.6616821289062,"['f', 'space']",0.9980230331420898,841.0
"['d', 'f']",modular,843,img/target_13.png,48,"['k', 'l']",2,0.05000000074505806,1.0,783.7626342773438,"['d', 'f']",0.761436939239502,842.0
"['f', 'space']",modular,844,img/target_15.png,48,"['l', 'semicolon']",4,0.05000000074505806,1.0,784.6111450195312,"['f', 'space']",1.096560001373291,843.0
"['d', 'f']",modular,845,img/target_13.png,48,"['k', 'l']",2,0.05000000074505806,0.0,785.7951049804688,"['d', 'f']",0.5924229621887207,844.0
"['d', 'space']",modular,846,img/target_14.png,48,"['k', 'semicolon']",0,0.05000000074505806,0.0,787.028564453125,"['d', 'space']",0.8464269638061523,845.0
"['a', 'd']",modular,847,img/target_7.png,48,"['space', 'k']",1,0.05000000074505806,1.0,788.9779663085938,"['a', 'd']",0.8647902011871338,846.0
"['d', 'space']",modular,848,img/target_14.png,48,"['k', 'semicolon']",0,0.05000000074505806,1.0,789.9452514648438,"['d', 'space']",0.68927001953125,847.0
"['d', 'f']",modular,849,img/target_13.png,48,"['k', 'l']",2,0.05000000074505806,1.0,790.7289428710938,"['d', 'f']",0.7944729328155518,848.0
"['d', 'space']",modular,850,img/target_14.png,48,"['k', 'semicolon']",0,0.05000000074505806,1.0,791.6123046875,"['d', 'space']",0.7102189064025879,849.0
"['a', 's']",modular,851,img/target_6.png,48,"['space', 'j']",9,0.05000000074505806,1.0,792.411865234375,"['a', 's']",0.6639270782470703,850.0
"['s', 'd']",modular,852,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,1.0,793.1616821289062,"['d', 's']",0.69757080078125,851.0
"['a', 'space']",modular,853,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,793.9619750976562,"['a', 'space']",0.6812431812286377,852.0
"['s', 'space']",modular,854,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,1.0,794.74609375,"['s', 'space']",0.6492300033569336,853.0
"['s', 'f']",modular,855,img/target_11.png,48,"['j', 'l']",8,0.05000000074505806,0.0,795.4963989257812,"['f', 's']",0.7459919452667236,854.0
"['s', 'space']",modular,856,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,1.0,797.113525390625,"['s', 'space']",0.7769260406494141,855.0
"['a', 'space']",modular,857,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,797.9797973632812,"['a', 'space']",0.6785399913787842,856.0
"['s', 'd']",modular,858,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,1.0,798.7464599609375,"['d', 's']",0.6799020767211914,857.0
"['s', 'space']",modular,859,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,0.0,799.5286865234375,"['s', 'space']",0.6256051063537598,858.0
"['a', 's']",modular,860,img/target_6.png,48,"['space', 'j']",9,0.05000000074505806,1.0,800.5623779296875,"['a', 's']",0.6329770088195801,859.0
"['s', 'd']",modular,861,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,1.0,801.2965087890625,"['d', 's']",0.5867929458618164,860.0
"['a', 'space']",modular,862,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,801.97998046875,"['a', 'space']",0.607384204864502,861.0
"['s', 'f']",modular,863,img/target_11.png,48,"['j', 'l']",8,0.05000000074505806,1.0,802.6796264648438,"['f', 's']",0.7225558757781982,862.0
"['s', 'd']",modular,864,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,0.0,803.497314453125,"['d', 's']",0.576948881149292,863.0
"['s', 'f']",modular,865,img/target_11.png,48,"['j', 'l']",8,0.05000000074505806,1.0,804.7471923828125,"['f', 's']",0.5918271541595459,864.0
"['s', 'space']",modular,866,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,1.0,805.4301147460938,"['s', 'space']",0.6767160892486572,865.0
"['s', 'd']",modular,867,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,1.0,806.197021484375,"['d', 's']",0.6621239185333252,866.0
"['a', 'space']",modular,868,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,806.9473876953125,"['a', 'space']",0.6956758499145508,867.0
"['f', 'space']",modular,869,img/target_15.png,48,"['l', 'semicolon']",4,0.05000000074505806,1.0,807.7295532226562,"['f', 'space']",0.7044050693511963,868.0
"['a', 'd']",modular,870,img/target_7.png,48,"['space', 'k']",1,0.05000000074505806,0.0,808.5307006835938,"['a', 'd']",0.695167064666748,869.0
"['f', 'space']",modular,871,img/target_15.png,48,"['l', 'semicolon']",4,0.05000000074505806,1.0,810.3649291992188,"['f', 'space']",0.7979450225830078,870.0
"['a', 'f']",modular,872,img/target_8.png,48,"['space', 'l']",3,0.05000000074505806,1.0,811.2467651367188,"['a', 'f']",1.3972969055175781,871.0
"['f', 'space']",modular,873,img/target_15.png,48,"['l', 'semicolon']",4,0.05000000074505806,1.0,812.7476196289062,"['f', 'space']",0.9191579818725586,872.0
"['a', 'space']",modular,874,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,813.7645874023438,"['a', 'space']",0.630094051361084,873.0
"['s', 'd']",modular,875,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,1.0,814.4810791015625,"['d', 's']",0.7768070697784424,874.0
"['a', 'space']",modular,876,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,815.3480224609375,"['a', 'space']",0.926598072052002,875.0
"['s', 'd']",modular,877,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,1.0,816.3643798828125,"['d', 's']",0.7252280712127686,876.0
"['s', 'space']",modular,878,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,0.0,817.181396484375,"['s', 'space']",0.6284270286560059,877.0
