pID,trialNum,graph,walk,resp,path
2,1,modular,1,u,img/target_7.png
2,2,modular,4,o,img/target_9.png
2,3,modular,2,q,img/target_1.png
2,4,modular,0,w,img/target_2.png
2,5,modular,9,p,img/target_10.png
2,6,modular,7,v,img/target_5.png
2,7,modular,8,b,img/target_6.png
2,8,modular,7,v,img/target_5.png
2,9,modular,5,e,img/target_3.png
2,10,modular,7,v,img/target_5.png
2,11,modular,6,i,img/target_8.png
2,12,modular,5,e,img/target_3.png
2,13,modular,8,b,img/target_6.png
2,14,modular,9,p,img/target_10.png
2,15,modular,6,i,img/target_8.png
2,16,modular,5,e,img/target_3.png
2,17,modular,7,v,img/target_5.png
2,18,modular,8,b,img/target_6.png
2,19,modular,5,e,img/target_3.png
2,20,modular,6,i,img/target_8.png
2,21,modular,8,b,img/target_6.png
2,22,modular,7,v,img/target_5.png
2,23,modular,5,e,img/target_3.png
2,24,modular,4,o,img/target_9.png
2,25,modular,1,u,img/target_7.png
2,26,modular,0,w,img/target_2.png
2,27,modular,1,u,img/target_7.png
2,28,modular,3,r,img/target_4.png
2,29,modular,2,q,img/target_1.png
2,30,modular,1,u,img/target_7.png
2,31,modular,4,o,img/target_9.png
2,32,modular,1,u,img/target_7.png
2,33,modular,4,o,img/target_9.png
2,34,modular,5,e,img/target_3.png
2,35,modular,8,b,img/target_6.png
2,36,modular,6,i,img/target_8.png
2,37,modular,5,e,img/target_3.png
2,38,modular,8,b,img/target_6.png
2,39,modular,5,e,img/target_3.png
2,40,modular,4,o,img/target_9.png
2,41,modular,1,u,img/target_7.png
2,42,modular,3,r,img/target_4.png
2,43,modular,0,w,img/target_2.png
2,44,modular,2,q,img/target_1.png
2,45,modular,0,w,img/target_2.png
2,46,modular,1,u,img/target_7.png
2,47,modular,4,o,img/target_9.png
2,48,modular,2,q,img/target_1.png
2,49,modular,1,u,img/target_7.png
2,50,modular,3,r,img/target_4.png
2,51,modular,1,u,img/target_7.png
2,52,modular,2,q,img/target_1.png
2,53,modular,1,u,img/target_7.png
2,54,modular,2,q,img/target_1.png
2,55,modular,1,u,img/target_7.png
2,56,modular,3,r,img/target_4.png
2,57,modular,1,u,img/target_7.png
2,58,modular,3,r,img/target_4.png
2,59,modular,2,q,img/target_1.png
2,60,modular,0,w,img/target_2.png
2,61,modular,1,u,img/target_7.png
2,62,modular,4,o,img/target_9.png
2,63,modular,5,e,img/target_3.png
2,64,modular,6,i,img/target_8.png
2,65,modular,7,v,img/target_5.png
2,66,modular,6,i,img/target_8.png
2,67,modular,7,v,img/target_5.png
2,68,modular,8,b,img/target_6.png
2,69,modular,5,e,img/target_3.png
2,70,modular,6,i,img/target_8.png
2,71,modular,5,e,img/target_3.png
2,72,modular,6,i,img/target_8.png
2,73,modular,7,v,img/target_5.png
2,74,modular,6,i,img/target_8.png
2,75,modular,9,p,img/target_10.png
2,76,modular,0,w,img/target_2.png
2,77,modular,1,u,img/target_7.png
2,78,modular,3,r,img/target_4.png
2,79,modular,0,w,img/target_2.png
2,80,modular,1,u,img/target_7.png
2,81,modular,4,o,img/target_9.png
2,82,modular,2,q,img/target_1.png
2,83,modular,4,o,img/target_9.png
2,84,modular,5,e,img/target_3.png
2,85,modular,8,b,img/target_6.png
2,86,modular,6,i,img/target_8.png
2,87,modular,9,p,img/target_10.png
2,88,modular,8,b,img/target_6.png
2,89,modular,5,e,img/target_3.png
2,90,modular,6,i,img/target_8.png
2,91,modular,7,v,img/target_5.png
2,92,modular,5,e,img/target_3.png
2,93,modular,7,v,img/target_5.png
2,94,modular,9,p,img/target_10.png
2,95,modular,0,w,img/target_2.png
2,96,modular,9,p,img/target_10.png
2,97,modular,0,w,img/target_2.png
2,98,modular,1,u,img/target_7.png
2,99,modular,4,o,img/target_9.png
2,100,modular,2,q,img/target_1.png
2,101,modular,4,o,img/target_9.png
2,102,modular,3,r,img/target_4.png
2,103,modular,0,w,img/target_2.png
2,104,modular,9,p,img/target_10.png
2,105,modular,8,b,img/target_6.png
2,106,modular,5,e,img/target_3.png
2,107,modular,8,b,img/target_6.png
2,108,modular,9,p,img/target_10.png
2,109,modular,8,b,img/target_6.png
2,110,modular,6,i,img/target_8.png
2,111,modular,8,b,img/target_6.png
2,112,modular,7,v,img/target_5.png
2,113,modular,8,b,img/target_6.png
2,114,modular,6,i,img/target_8.png
2,115,modular,5,e,img/target_3.png
2,116,modular,7,v,img/target_5.png
2,117,modular,8,b,img/target_6.png
2,118,modular,6,i,img/target_8.png
2,119,modular,7,v,img/target_5.png
2,120,modular,5,e,img/target_3.png
2,121,modular,4,o,img/target_9.png
2,122,modular,3,r,img/target_4.png
2,123,modular,4,o,img/target_9.png
2,124,modular,5,e,img/target_3.png
2,125,modular,8,b,img/target_6.png
2,126,modular,6,i,img/target_8.png
2,127,modular,5,e,img/target_3.png
2,128,modular,4,o,img/target_9.png
2,129,modular,5,e,img/target_3.png
2,130,modular,4,o,img/target_9.png
2,131,modular,2,q,img/target_1.png
2,132,modular,3,r,img/target_4.png
2,133,modular,0,w,img/target_2.png
2,134,modular,3,r,img/target_4.png
2,135,modular,4,o,img/target_9.png
2,136,modular,1,u,img/target_7.png
2,137,modular,4,o,img/target_9.png
2,138,modular,5,e,img/target_3.png
2,139,modular,6,i,img/target_8.png
2,140,modular,9,p,img/target_10.png
2,141,modular,6,i,img/target_8.png
2,142,modular,7,v,img/target_5.png
2,143,modular,8,b,img/target_6.png
2,144,modular,9,p,img/target_10.png
2,145,modular,8,b,img/target_6.png
2,146,modular,6,i,img/target_8.png
2,147,modular,8,b,img/target_6.png
2,148,modular,5,e,img/target_3.png
2,149,modular,4,o,img/target_9.png
2,150,modular,1,u,img/target_7.png
2,151,modular,3,r,img/target_4.png
2,152,modular,4,o,img/target_9.png
2,153,modular,3,r,img/target_4.png
2,154,modular,2,q,img/target_1.png
2,155,modular,4,o,img/target_9.png
2,156,modular,2,q,img/target_1.png
2,157,modular,3,r,img/target_4.png
2,158,modular,4,o,img/target_9.png
2,159,modular,2,q,img/target_1.png
2,160,modular,4,o,img/target_9.png
2,161,modular,2,q,img/target_1.png
2,162,modular,0,w,img/target_2.png
2,163,modular,1,u,img/target_7.png
2,164,modular,0,w,img/target_2.png
2,165,modular,9,p,img/target_10.png
2,166,modular,6,i,img/target_8.png
2,167,modular,9,p,img/target_10.png
2,168,modular,6,i,img/target_8.png
