graph,trialNum,resp,path,pID,walk,ISI_raw,correct_raw,onset_raw,resp_raw,rt_raw,typing_raw,order
lattice,653,i,img/target_8.png,1,5,0.05000000074505806,1.0,1075.39013671875,['i'],1.03084397315979,a,652.0
lattice,654,e,img/target_3.png,1,7,0.05000000074505806,1.0,1076.509033203125,['e'],0.8079609870910645,a,653.0
lattice,655,p,img/target_10.png,1,6,0.05000000074505806,1.0,1077.4066162109375,['p'],0.9747319221496582,a,654.0
lattice,656,w,img/target_2.png,1,4,0.05000000074505806,1.0,1078.4759521484375,['w'],1.4095780849456787,a,655.0
lattice,657,i,img/target_8.png,1,5,0.05000000074505806,1.0,1079.9742431640625,['i'],0.8069159984588623,a,656.0
lattice,658,w,img/target_2.png,1,4,0.05000000074505806,1.0,1080.874267578125,['w'],0.9784228801727295,a,657.0
lattice,659,p,img/target_10.png,1,6,0.05000000074505806,1.0,1081.944091796875,['p'],1.308609962463379,a,658.0
lattice,660,e,img/target_3.png,1,7,0.05000000074505806,1.0,1083.3408203125,['e'],0.9359128475189209,a,659.0
lattice,661,r,img/target_4.png,1,9,0.05000000074505806,1.0,1084.374755859375,['r'],1.2706060409545898,a,660.0
lattice,662,e,img/target_3.png,1,7,0.05000000074505806,1.0,1085.7412109375,['e'],0.7194480895996094,a,661.0
lattice,663,u,img/target_7.png,1,8,0.05000000074505806,1.0,1086.5587158203125,['u'],1.9666790962219238,a,662.0
lattice,664,b,img/target_6.png,1,0,0.05000000074505806,0.0,1088.6259765625,['b'],3.41867995262146,a,663.0
lattice,665,u,img/target_7.png,1,8,0.05000000074505806,1.0,1092.1251220703125,['u'],0.7360200881958008,a,664.0
lattice,666,p,img/target_10.png,1,6,0.05000000074505806,1.0,1092.95947265625,['p'],1.1251368522644043,a,665.0
lattice,667,w,img/target_2.png,1,4,0.05000000074505806,1.0,1094.177734375,['w'],0.7872672080993652,a,666.0
lattice,668,o,img/target_9.png,1,3,0.05000000074505806,1.0,1095.0592041015625,['o'],1.0250701904296875,a,667.0
lattice,669,v,img/target_5.png,1,1,0.05000000074505806,1.0,1096.1754150390625,['v'],1.4448530673980713,a,668.0
lattice,670,o,img/target_9.png,1,3,0.05000000074505806,1.0,1097.7091064453125,['o'],0.9200170040130615,a,669.0
lattice,671,q,img/target_1.png,1,2,0.05000000074505806,1.0,1098.7264404296875,['q'],0.9095861911773682,a,670.0
lattice,672,o,img/target_9.png,1,3,0.05000000074505806,1.0,1099.726318359375,['o'],1.1191251277923584,a,671.0
lattice,673,w,img/target_2.png,1,4,0.05000000074505806,1.0,1100.9434814453125,['w'],0.9327318668365479,a,672.0
lattice,674,p,img/target_10.png,1,6,0.05000000074505806,1.0,1101.9766845703125,['p'],1.2841129302978516,a,673.0
lattice,675,w,img/target_2.png,1,4,0.05000000074505806,1.0,1103.3592529296875,['w'],0.8137340545654297,a,674.0
lattice,676,q,img/target_1.png,1,2,0.05000000074505806,1.0,1104.2764892578125,['q'],0.6715240478515625,a,675.0
lattice,677,b,img/target_6.png,1,0,0.05000000074505806,1.0,1105.0430908203125,['b'],0.6648499965667725,a,676.0
lattice,678,q,img/target_1.png,1,2,0.05000000074505806,1.0,1105.7928466796875,['q'],0.8838350772857666,a,677.0
lattice,679,v,img/target_5.png,1,1,0.05000000074505806,1.0,1106.7762451171875,['v'],0.8354711532592773,a,678.0
lattice,680,q,img/target_1.png,1,2,0.05000000074505806,1.0,1107.71044921875,['q'],0.7103018760681152,a,679.0
lattice,681,v,img/target_5.png,1,1,0.05000000074505806,1.0,1108.5107421875,['v'],0.6769599914550781,a,680.0
lattice,682,b,img/target_6.png,1,0,0.05000000074505806,1.0,1109.2772216796875,['b'],0.5424420833587646,a,681.0
lattice,683,v,img/target_5.png,1,1,0.05000000074505806,1.0,1109.910400390625,['v'],0.42931509017944336,a,682.0
lattice,684,b,img/target_6.png,1,0,0.05000000074505806,1.0,1110.426513671875,['b'],0.4980769157409668,a,683.0
lattice,685,u,img/target_7.png,1,8,0.05000000074505806,1.0,1111.026611328125,['u'],0.769989013671875,a,684.0
lattice,686,b,img/target_6.png,1,0,0.05000000074505806,1.0,1111.8931884765625,['b'],1.1116149425506592,a,685.0
