sess,graph,trialNum,resp,path,pID,walk,ISI_raw,correct_raw,onset_raw,resp_raw,rt_raw,typing_raw,order
2,modular,929,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,930,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,931,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,932,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,933,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,934,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,935,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,936,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,937,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,938,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,939,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,940,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,941,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,942,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,943,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,944,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,945,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,946,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,947,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,948,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,949,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,950,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,951,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,952,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,953,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,954,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,955,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,956,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,957,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,958,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,959,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,960,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,961,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,962,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,963,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,964,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,965,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,966,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,967,q,img/target_1.png,60,4,,,,'--',,'--',
2,modular,968,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,969,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,970,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,971,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,972,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,973,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,974,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,975,i,img/target_8.png,60,3,,,,'--',,'--',
2,modular,976,q,img/target_1.png,60,4,,,,'--',,'--',
2,modular,977,w,img/target_2.png,60,1,,,,'--',,'--',
2,modular,978,q,img/target_1.png,60,4,,,,'--',,'--',
2,modular,979,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,980,i,img/target_8.png,60,3,,,,'--',,'--',
2,modular,981,w,img/target_2.png,60,1,,,,'--',,'--',
2,modular,982,q,img/target_1.png,60,4,,,,'--',,'--',
2,modular,983,b,img/target_6.png,60,5,,,,'--',,'--',
2,modular,984,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,985,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,986,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,987,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,988,p,img/target_10.png,60,8,,,,'--',,'--',
